iter	RMSE
0	2427555777
1	2322820427
2	2226617481
3	2139892565
4	2065974162
5	2003606646
6	1950525165
7	1900261350
8	1858510085
9	1823087252
10	1783907181
11	1749843355
12	1725865643
13	1693598911
14	1662235860
15	1641314516
16	1609559354
17	1588198263
18	1568252597
19	1556940385
20	1541504453
21	1519775322
22	1503996245
23	1487754461
24	1468567656
25	1452033771
26	1442729962
27	1433250554
28	1422020899
29	1412499253
30	1402065151
31	1389583047
32	1381031916
33	1371116971
34	1363524266
35	1354139989
36	1346657418
37	1339227958
38	1332832125
39	1326684210
40	1319817940
41	1311833290
42	1306987628
43	1302247076
44	1297051345
45	1290489332
46	1285447059
47	1280665687
48	1276245538
49	1271753243
50	1268065608
51	1261990848
52	1256372548
53	1251668170
54	1247192139
55	1242109088
56	1239084923
57	1235354301
58	1230863129
59	1226058163
60	1222121212
61	1218865382
62	1214298243
63	1209940647
64	1206743108
65	1203645488
66	1200632906
67	1196256440
68	1191752936
69	1186506540
70	1183413287
71	1178378894
72	1174824071
73	1170190050
74	1166577968
75	1161925727
76	1158382272
77	1154584097
78	1151759591
79	1148824235
80	1147258626
81	1146468100
82	1143618103
83	1139154992
84	1137630325
85	1135026422
86	1131282543
87	1129427283
88	1125658196
89	1120902132
90	1117408070
91	1115242364
92	1111776713
93	1110336749
94	1106412550
95	1102109487
96	1101197894
97	1100223002
98	1099201894
99	1096172908
100	1093033899
101	1089157911
102	1086831720
103	1083104320
104	1079120673
105	1075644151
106	1074559730
107	1070866339
108	1070057441
109	1068498107
110	1065825160
111	1063257900
112	1060299300
113	1057532753
114	1056656055
115	1055817492
116	1053509940
117	1051309355
118	1048178773
119	1047292931
120	1044416583
121	1043451275
122	1041189476
123	1038440505
124	1036405489
125	1034258299
126	1032471913
127	1029984092
128	1027458035
129	1026792788
130	1023787050
131	1021538740
132	1020020914
133	1018133604
134	1017496229
135	1014684131
136	1012737010
137	1009650190
138	1007407230
139	1005342311
140	1003622616
141	1002642549
142	1000549292
143	999123688.7
144	998517622.1
145	996050287.1
146	994561685.5
147	991924838.5
148	991011886.7
149	990441780.4
150	988121273.3
151	985998721.2
152	982997306.7
153	981346604.9
154	979813659.9
155	978492182.9
156	976825134.2
157	974533181.3
158	973976501.2
159	971467908.7
160	969496408.3
161	967441870
162	965460882.9
163	964435087.7
164	963436903.6
165	962396400
166	961606199.1
167	960222958.2
168	958920368
169	957978244.5
170	955575384.2
171	953877660.3
172	952171717.6
173	950499568.6
174	948471900.9
175	947933893.4
176	946188884.3
177	945440916.9
