iter	Passed	Remaining
0	141	141611
1	144	72144
2	147	48864
3	149	37310
4	152	30364
5	155	25732
6	158	22427
7	160	19948
8	163	18011
9	166	16456
10	168	15194
11	171	14146
12	174	13285
13	177	12530
14	181	11898
15	183	11302
16	186	10764
17	188	10303
18	191	9883
19	193	9503
20	196	9154
21	199	8852
22	202	8581
23	204	8327
24	207	8079
25	210	7869
26	212	7657
27	215	7465
28	217	7276
29	219	7109
30	222	6949
31	224	6798
32	226	6648
33	229	6508
34	231	6371
35	233	6249
36	235	6130
37	237	6015
38	239	5910
39	241	5802
40	244	5718
41	246	5629
42	249	5543
43	251	5456
44	253	5384
45	256	5309
46	258	5233
47	260	5161
48	262	5096
49	264	5027
50	266	4965
51	269	4906
52	270	4841
53	273	4785
54	275	4734
55	277	4684
56	280	4636
57	282	4581
58	284	4534
59	286	4486
60	288	4438
61	290	4393
62	292	4347
63	294	4307
64	296	4266
65	298	4227
66	300	4188
67	302	4149
68	304	4112
69	306	4077
70	308	4041
71	310	4005
72	312	3972
73	315	3943
74	317	3917
75	320	3890
76	322	3863
77	324	3836
78	326	3804
79	328	3773
80	330	3745
81	332	3722
82	334	3696
83	337	3675
84	339	3656
85	342	3635
86	344	3611
87	346	3596
88	349	3577
89	351	3555
90	354	3536
91	355	3513
92	358	3493
93	360	3471
94	362	3449
95	364	3431
96	366	3414
97	369	3399
98	371	3383
99	374	3371
100	376	3355
101	379	3337
102	381	3319
103	383	3302
104	385	3287
105	388	3273
106	390	3260
107	392	3245
108	395	3230
109	397	3217
110	399	3203
111	402	3190
112	404	3177
113	406	3161
114	408	3143
115	410	3131
116	413	3117
117	415	3101
118	417	3090
119	419	3075
120	421	3062
121	423	3048
122	425	3035
123	427	3019
124	429	3005
125	431	2991
126	433	2977
127	435	2965
128	437	2952
129	439	2940
130	441	2929
131	443	2917
132	446	2908
133	448	2897
134	450	2887
135	452	2876
136	454	2865
137	456	2854
138	459	2844
139	461	2832
140	463	2821
141	465	2811
142	467	2804
143	470	2794
144	472	2785
145	474	2777
146	477	2768
147	479	2759
148	481	2748
149	483	2739
150	485	2730
151	488	2722
152	490	2714
153	492	2706
154	494	2697
155	496	2686
156	498	2675
157	500	2665
158	502	2657
159	504	2650
160	506	2641
161	508	2631
162	510	2621
163	512	2611
164	514	2601
165	515	2590
166	517	2581
167	519	2571
168	521	2564
169	523	2557
170	525	2549
171	527	2539
172	529	2530
173	531	2522
174	533	2513
175	534	2504
176	536	2494
177	538	2488
178	541	2481
179	543	2475
180	545	2469
181	547	2462
182	550	2456
183	552	2450
184	554	2442
185	556	2434
186	558	2426
187	559	2417
188	561	2409
189	563	2400
190	565	2394
191	567	2387
192	569	2380
193	571	2373
194	573	2367
195	575	2362
196	578	2356
197	579	2348
198	581	2340
199	583	2333
200	585	2327
201	587	2321
202	589	2314
203	591	2308
204	593	2302
205	596	2297
206	598	2292
207	600	2286
208	602	2280
209	604	2275
210	607	2271
211	609	2265
212	611	2258
213	613	2252
214	615	2248
215	618	2243
216	620	2237
217	622	2232
218	624	2227
219	626	2221
220	628	2214
221	630	2209
222	632	2203
223	634	2198
224	636	2192
225	638	2186
226	640	2180
227	641	2173
228	643	2167
229	645	2161
