iter	RMSE
0	2421235613
1	2320972265
2	2220169831
3	2134387705
4	2069810970
5	2009570099
6	1958841619
7	1910627596
8	1867031504
9	1837698055
10	1790898423
11	1754053457
12	1726541524
13	1700449044
14	1670429847
15	1632759324
16	1608909424
17	1588996690
18	1570620945
19	1558172905
20	1538654225
21	1517959026
22	1497840218
23	1482530119
24	1470611157
25	1456808419
26	1445582073
27	1435104358
28	1423799545
29	1413721227
30	1399518002
31	1388664440
32	1378772998
33	1371191307
34	1363598470
35	1356434613
36	1348640857
37	1341970573
38	1335310146
39	1332179429
40	1324176921
41	1314462744
42	1310686674
43	1303316079
44	1296521211
45	1289796758
46	1284616767
47	1279299722
48	1273149732
49	1268760055
50	1264277649
51	1259795110
52	1253517545
53	1248742152
54	1243695040
55	1238711312
56	1233424171
57	1229150939
58	1225335992
59	1221048206
60	1216044345
61	1212328685
62	1209048295
63	1205446130
64	1201385612
65	1197949975
66	1194141644
67	1190028364
68	1185940523
69	1182665099
70	1179704865
71	1176546601
72	1174505849
73	1170824992
74	1169600286
75	1164969521
76	1162719294
77	1159018424
78	1156619365
79	1153214643
80	1149351635
81	1146534061
82	1143056015
83	1139727443
84	1134960501
85	1132360164
86	1128315843
87	1125392878
88	1121967178
89	1117803960
90	1115518656
91	1114353232
92	1110530979
93	1109074372
94	1107665776
95	1103744583
96	1099975213
97	1096737275
98	1093846527
99	1090568782
100	1087029571
101	1086013155
102	1085154517
103	1082062191
104	1079313620
105	1078385763
106	1077368126
107	1074428133
108	1071136621
109	1069625675
110	1068750113
111	1066243023
112	1062400359
113	1059745798
114	1058997772
115	1056150057
116	1055435801
117	1052643801
118	1049424117
119	1047444914
120	1045165310
121	1044479839
122	1041731581
123	1039767270
124	1038654087
125	1035981566
126	1033105432
127	1030443673
128	1028514097
129	1026456416
130	1023696856
131	1021318338
132	1018657738
133	1016682002
134	1015615913
135	1014734639
136	1012565479
137	1009708427
138	1007849069
139	1005891463
140	1005269118
141	1003316794
142	1001606255
143	999420571.9
144	997132030
145	995379350.9
146	994003257
147	992139478.8
148	991234803.1
149	989543147.4
150	987845704.4
151	985406742.7
152	984815239.8
153	983430923.5
154	982864620
155	981609698.4
156	980552099.4
157	979305247.6
158	978243237.8
159	976130723.5
160	975147372.6
161	973414344.4
162	971638954.4
163	969722794.9
164	967118702.3
165	966567884.4
166	964802408.7
167	964272868.7
168	962368062.5
169	961434839.1
170	960052051.9
171	957347362.2
172	955053257.5
173	953023822.3
174	952076279
175	951157897.9
176	950428908.2
177	948102602.8
178	946946943.3
179	945580934.4
180	943925481.6
181	943417233.9
182	942443916.7
183	941955584.6
184	940352949.7
185	939114347.3
186	937180422.2
187	935811974.2
188	934049605.8
189	933189375.5
190	931672252.2
191	930532043.5
192	930056408.3
193	928884812.5
194	926588466.8
195	924786523
196	922796562.2
197	921918223.5
198	921451323
199	920707689.9
200	920260510.3
201	918359486.9
202	917250761.1
203	916560030
204	915412608.1
205	914449570.7
206	913024244.1
207	911361590.7
208	910924502.3
209	909565676.9
210	908514403.9
211	907235625.4
212	905307630.6
213	903550913.9
214	902854253.2
215	901709802.8
216	901284282.7
217	900639768.5
218	899082010.2
219	898253005.9
220	897594322.1
221	896991876.3
222	895493029.8
223	893754070.4
224	892420413.2
225	890773763.8
226	890357388.6
227	888607767.3
228	887672005.8
229	887267391
230	885960925.7
231	885067137.8
232	884207844.2
233	883547054.4
234	883159412.2
235	881701891.3
236	879833893.6
237	878656164.9
238	876895162.9
239	876322258.5
240	875393648.4
241	873651020.2
242	872920982.3
243	872332671.2
244	871153327.8
245	870782388.9
246	869844219.5
247	868885350.7
248	867275230.9
249	866411535.7
250	864971677.2
251	864104776.8
252	863742042
253	862175350.1
254	861587256.4
255	859805533.8
256	858881518.1
257	857293096.8
258	856585152.1
259	856236430
260	855439181
261	854296606.9
262	853792956.3
263	852104066.2
264	851441889.2
265	850964596.9
266	850212699.2
267	849003029.4
268	847922137.2
269	846670657.1
270	844732525.9
271	844384480.2
272	843123666.8
273	842472416.5
274	841964458.5
275	841628785.5
276	840323892.7
277	839667869.2
278	839048389.2
279	837756627.1
280	837425970.8
281	836949430.1
282	835786642.7
283	834476950.1
284	834152956
285	833839868.5
286	832659048.4
287	831934170.1
288	830691657.7
289	830386461
290	829401032.3
291	828689727.1
292	827920119.8
293	826764218.6
294	826468963.2
295	825468534.9
296	824834452.5
297	823818647.2
298	822255805.4
299	820920114
300	820480389.2
301	820189382.9
302	819340912.5
303	818215651.7
304	817597469.2
305	817314932.7
306	816672624.5
307	816235127.4
308	815558209.1
309	814765920.8
310	814487004.2
311	814215601.1
312	812817284.6
313	811469736.1
314	810463395.9
315	809968691.2
316	809319481.5
317	808861467.5
318	808049598.4
319	807781895.4
320	807365688
321	806443893.7
322	805700440.1
323	804412390.6
324	804012438.8
325	803730176.3
326	803439320.7
327	802367509.3
328	802103806.1
329	801849809.6
330	801495708.6
331	801251866.8
332	801017452.4
333	799976141.1
334	799747062.7
335	799253516.3
336	799032080.6
337	798583653.4
338	798144877.1
339	797837848.1
340	796679902.5
341	795980413.6
342	794765845.4
343	793961043.1
344	793101126.4
345	792526171.4
346	791615633.5
347	791289773.2
348	790658700.3
349	790064748.5
350	788868467.6
351	788241973.4
352	787737464.3
353	786875155.9
354	786004718.1
355	785390770.3
356	784967030.9
357	783809543.3
358	783591806.3
359	782427660.2
360	781785203.5
361	781571177.9
362	781209815.9
363	780134295
364	779375296.7
365	778410605
366	777441502.5
367	776800102.5
368	775691094.2
369	774180014.7
370	773613083.7
371	772911863.3
372	772461605.4
373	771382187.2
374	771028573.5
375	770047708
376	769722523.1
377	769235732.3
378	769013440.9
379	768228833.7
380	767212247.4
381	766737689.1
382	766451972
383	765949722.8
384	765729825.9
385	765159267.5
386	764544406.6
387	764329558.8
388	763408273.4
389	762758171
390	762545627.8
391	761553586.7
392	760923954.7
393	760083898.1
394	759199534.3
395	758683610.8
396	758474036.7
397	757825704.9
398	757216490.5
399	756884925.9
400	756226516.1
401	756020759.2
402	755498464.7
403	754697144.4
404	754288449.9
405	753553855.1
406	753286508.4
407	752742810.9
408	752539999.6
409	751805702.1
410	751370044.3
411	751170456.4
412	750361311.2
413	750070309.9
414	749781242.7
415	749526382.9
416	748907884.5
417	748712686.3
418	748237707.8
419	747940038.8
420	747559235.4
421	747084137.7
422	746476550.9
423	746022167.2
424	745216682.3
425	744906682.4
426	744710521
427	744301462.8
428	743121560
429	742932565.4
430	742643522.1
431	741814242
432	741627159.8
433	740964953.8
434	740779787.7
435	740502629.9
436	740054519.1
437	739387120.8
438	739206339
439	738382098.5
440	738105005
441	737383697
442	737204698.8
443	736637088.2
444	736171856.5
445	735596474.9
446	734557337.3
447	734221687.6
448	733361923.6
449	733184414.3
450	732908816.7
451	732171370.2
452	731127029.5
453	730952346.6
454	729999177.1
455	729648354.1
456	729374817.6
457	729203140.6
458	728313438.5
459	727537659.4
460	727287087.9
461	726925256.8
462	726508642.4
463	726229570.4
464	725600087.6
465	724784201.4
466	724007761.8
467	723837803.7
468	723442210.8
469	723219977.6
470	722956359.5
471	722461073
472	722294382.7
473	721781584.7
474	721115647.5
475	720951099.6
476	720687634.1
477	719972601.1
478	719501614.6
479	718280891.3
480	718017621.9
481	717077650
482	716913787.1
483	716672226.9
484	716297933.9
485	715979867.1
486	715621345.1
487	715461782.1
488	715106030.8
489	714389160.9
490	714129146.1
491	713971203.1
492	713606571.8
493	713387517.8
494	713230603.4
495	712830410.5
496	712036685
497	711467914.7
498	710855528.1
499	710535952.1
500	710148773.9
501	709592031.3
502	708701739
503	708179971.6
504	708026291.2
505	707838360.5
506	707525723.9
507	707373402.1
508	707147845.8
509	706794630
510	706153652.3
511	706002745.9
512	705600367
513	705377627.6
514	705073038.4
515	704466112.7
516	704257172.9
517	703194606.1
518	702790258.6
519	702642876.7
520	702497058.4
521	702107386.5
522	701963018.7
523	701274449
524	700613627
525	700469635.8
526	700329630.4
527	700074168
528	699635362.5
529	699108541.1
530	698500720
531	697794226.4
532	697283800.1
533	696667885.3
534	696463485
535	696323944.1
536	696185732.6
537	695621204.2
538	695308730.5
539	694821999.1
540	694185708.1
541	693869071.9
542	693347530.8
543	693150567.4
544	693015635.5
545	692369234.3
546	692236098.6
547	692094195.9
548	691955096.1
549	691626063.2
550	690856664.6
551	690722462.2
552	690492925.3
553	690361986.8
554	690233818.2
555	690109097
556	689987476.2
557	689307469.9
558	688689400.9
559	688117240.9
560	687997302.6
561	687805208.5
562	687607335.2
563	687222062.5
564	687104430.8
565	686989213.1
566	686294503.3
567	686171230.3
568	685322227.2
569	685132163.3
570	684573104.9
571	684153206.6
572	683989359.4
