iter	Passed	Remaining
0	133	133780
1	137	68468
2	140	46556
3	143	35661
4	146	29188
5	149	24829
6	152	21677
7	155	19305
8	158	17464
9	161	16010
10	164	14811
11	167	13809
12	170	12970
13	173	12246
14	177	11644
15	180	11099
16	183	10615
17	187	10209
18	190	9818
19	193	9466
20	195	9134
21	198	8841
22	201	8579
23	205	8343
24	208	8119
25	210	7902
26	213	7708
27	216	7523
28	219	7353
29	222	7192
30	225	7039
31	227	6892
32	230	6761
33	233	6637
34	236	6517
35	238	6396
36	242	6301
37	244	6191
38	247	6100
39	250	6008
40	253	5921
41	256	5850
42	259	5772
43	262	5703
44	265	5631
45	268	5562
46	270	5494
47	273	5427
48	276	5360
49	278	5300
50	281	5237
51	284	5184
52	287	5131
53	290	5083
54	293	5037
55	295	4989
56	298	4939
57	301	4895
58	304	4851
59	306	4808
60	309	4766
61	312	4731
62	315	4688
63	317	4650
64	320	4615
65	323	4579
66	326	4543
67	328	4505
68	331	4468
69	333	4436
70	336	4404
71	339	4374
72	341	4342
73	344	4315
74	347	4283
75	350	4258
76	353	4232
77	355	4208
78	358	4181
79	361	4159
80	364	4134
81	367	4110
82	370	4088
83	372	4063
84	375	4040
85	377	4015
86	380	3995
87	383	3974
88	386	3952
89	388	3929
90	391	3910
91	393	3888
92	396	3868
93	399	3849
94	402	3830
95	405	3814
96	408	3799
97	410	3777
98	412	3757
99	415	3739
100	418	3723
101	421	3710
102	423	3691
103	426	3675
104	429	3659
105	431	3643
106	434	3630
107	437	3616
108	441	3605
109	443	3588
110	445	3569
111	448	3552
112	450	3539
113	453	3527
114	456	3511
115	458	3497
116	461	3483
117	464	3471
118	467	3460
119	470	3446
120	472	3432
121	475	3421
122	478	3410
123	480	3397
124	483	3386
125	486	3374
126	489	3363
127	492	3358
128	495	3345
129	498	3335
130	501	3324
131	503	3313
132	507	3306
133	510	3298
134	512	3285
135	515	3273
136	518	3263
137	521	3254
138	523	3243
139	526	3233
140	528	3221
141	531	3210
142	534	3200
143	536	3191
144	539	3182
145	542	3172
146	544	3161
147	547	3153
148	550	3143
149	553	3133
150	555	3124
151	558	3116
152	561	3107
153	564	3099
154	566	3090
155	569	3082
156	572	3072
157	575	3064
158	577	3055
159	580	3047
160	583	3038
161	586	3031
162	588	3023
163	591	3014
164	594	3006
165	596	2998
166	599	2989
167	602	2981
168	604	2974
169	607	2966
170	610	2959
171	612	2950
172	616	2945
173	618	2937
174	621	2929
175	623	2921
176	626	2915
177	629	2906
178	632	2899
179	634	2890
180	637	2883
181	639	2874
182	642	2867
183	645	2861
184	647	2853
185	650	2845
186	653	2840
187	656	2834
188	659	2828
189	661	2819
190	671	2844
191	674	2837
192	676	2830
193	679	2823
194	682	2819
195	685	2811
196	688	2805
197	691	2799
198	694	2794
199	696	2787
200	699	2779
201	701	2772
202	704	2766
203	707	2761
204	710	2753
205	712	2747
206	716	2743
207	719	2739
208	721	2732
209	725	2729
210	728	2724
211	731	2717
212	734	2712
213	736	2705
214	739	2699
215	741	2692
216	744	2686
217	746	2678
218	750	2674
219	752	2669
220	755	2664
221	758	2658
222	761	2652
223	764	2646
224	766	2641
225	769	2636
226	772	2630
227	774	2624
228	777	2618
229	779	2611
230	782	2605
231	786	2602
232	788	2596
233	791	2590
234	794	2586
235	797	2582
236	800	2578
237	803	2573
238	806	2568
239	809	2563
240	812	2560
241	815	2555
242	818	2551
243	821	2546
244	824	2540
245	826	2534
246	829	2529
247	832	2524
248	835	2519
249	838	2514
250	841	2510
251	843	2504
252	846	2499
253	849	2493
254	851	2488
255	854	2483
256	857	2479
257	860	2474
258	863	2470
259	865	2464
260	868	2459
261	871	2454
262	874	2449
263	877	2445
264	879	2439
265	881	2433
266	884	2428
267	887	2424
268	890	2419
269	893	2414
270	896	2410
271	898	2405
272	901	2400
273	903	2395
274	906	2390
275	909	2385
276	912	2381
277	915	2376
278	918	2372
279	921	2368
280	923	2363
281	926	2357
282	928	2353
283	931	2349
284	934	2344
285	937	2340
286	939	2334
287	942	2330
288	945	2326
289	948	2321
290	951	2318
291	954	2314
292	956	2308
293	959	2304
294	962	2299
295	965	2295
296	967	2290
297	970	2286
298	972	2280
299	976	2277
300	978	2273
301	981	2268
302	984	2264
303	987	2260
304	989	2255
305	992	2251
306	995	2246
307	998	2242
308	1000	2237
309	1003	2234
310	1006	2230
311	1009	2225
312	1012	2221
313	1015	2217
314	1017	2213
315	1020	2209
316	1023	2204
317	1025	2199
318	1028	2195
319	1030	2190
320	1033	2186
321	1036	2182
322	1039	2178
323	1041	2173
324	1044	2168
325	1046	2163
326	1049	2159
327	1052	2155
328	1055	2152
329	1057	2147
330	1060	2143
331	1063	2139
332	1066	2135
333	1068	2131
334	1071	2127
335	1074	2123
336	1077	2119
337	1079	2115
338	1082	2111
339	1084	2106
340	1087	2102
341	1090	2098
342	1093	2094
343	1096	2090
344	1099	2087
345	1101	2082
346	1104	2078
347	1107	2074
348	1109	2070
349	1112	2065
350	1115	2062
351	1118	2058
352	1120	2054
353	1123	2050
354	1126	2046
355	1129	2042
356	1131	2038
357	1134	2034
358	1137	2030
359	1140	2026
360	1142	2022
361	1145	2018
362	1147	2013
363	1150	2009
364	1153	2005
365	1156	2002
366	1158	1998
367	1161	1995
368	1164	1992
369	1167	1988
370	1170	1984
371	1173	1980
372	1175	1976
373	1178	1973
374	1181	1968
375	1183	1964
376	1186	1960
377	1189	1956
378	1191	1952
379	1194	1949
380	1198	1946
381	1200	1942
382	1203	1939
383	1206	1935
384	1209	1931
385	1211	1927
386	1214	1923
387	1216	1919
388	1219	1915
389	1222	1911
390	1224	1907
391	1227	1904
392	1230	1900
393	1232	1896
394	1235	1892
395	1238	1888
396	1240	1884
397	1243	1880
398	1246	1877
399	1248	1873
400	1251	1869
401	1254	1865
402	1257	1862
403	1260	1859
404	1263	1855
405	1265	1851
406	1268	1847
407	1270	1844
408	1273	1840
409	1276	1836
410	1278	1832
411	1281	1828
412	1284	1825
413	1286	1821
414	1289	1817
415	1292	1814
416	1295	1810
417	1297	1807
418	1300	1803
419	1303	1799
420	1306	1796
421	1308	1792
422	1311	1789
423	1315	1786
424	1318	1784
425	1321	1780
426	1323	1776
427	1326	1772
428	1329	1769
429	1331	1765
430	1334	1762
431	1337	1758
432	1340	1755
433	1343	1751
434	1346	1748
435	1348	1744
436	1351	1741
437	1354	1738
438	1357	1734
439	1360	1731
440	1363	1727
441	1365	1724
442	1369	1721
443	1372	1718
444	1375	1715
445	1377	1711
446	1380	1708
447	1383	1704
448	1386	1701
449	1390	1699
450	1393	1695
451	1395	1692
452	1398	1689
453	1401	1685
454	1404	1682
455	1407	1678
456	1409	1675
457	1412	1672
458	1415	1668
459	1418	1664
460	1421	1661
461	1423	1657
462	1426	1654
463	1429	1650
464	1431	1647
465	1434	1643
466	1437	1640
467	1440	1637
468	1443	1634
469	1447	1631
470	1449	1628
471	1452	1624
472	1455	1621
473	1457	1617
474	1460	1613
475	1462	1610
476	1465	1606
477	1468	1603
478	1471	1600
479	1473	1596
480	1476	1593
481	1479	1589
482	1481	1586
483	1484	1582
484	1487	1579
485	1490	1575
486	1492	1572
487	1494	1568
488	1497	1564
489	1500	1561
490	1503	1558
491	1505	1554
492	1508	1551
493	1511	1547
494	1513	1543
495	1516	1540
496	1519	1537
497	1522	1534
498	1524	1530
499	1527	1527
500	1529	1523
501	1532	1520
502	1535	1516
503	1538	1513
504	1540	1510
505	1543	1507
506	1546	1503
507	1549	1500
508	1551	1496
509	1554	1493
510	1556	1489
511	1559	1486
512	1562	1483
513	1565	1480
514	1568	1477
515	1571	1474
516	1574	1470
517	1576	1467
518	1579	1463
519	1581	1460
520	1584	1456
521	1587	1453
522	1589	1449
523	1592	1446
524	1595	1443
525	1597	1439
526	1600	1436
527	1602	1432
528	1605	1429
529	1608	1426
